Number Of Page,Number Of Trial,Average Time Access (ns)
1,100,9.47
2,100,41.62
4,100,48.88
8,100,52.35
16,100,64.24
32,100,72.98
64,100,65.08
128,100,67.14
256,100,68.87
512,100,69.36
1024,100,69.27
2048,100,72.02
4096,100,71.32
8192,100,76.34
16384,100,84.39
32768,100,86.53
65536,100,91.74
